program,processes,average_execution_time
centralized,2,.377441
centralized,4,.374404
centralized,6,.383231
centralized,8,.419178
centralized,10,.411547
centralized,12,.403531
centralized,14,.433108
centralized,16,.438469
circuar,2,.376329
circuar,4,.387090
circuar,6,.388773
circuar,8,.403648
circuar,10,.430855
circuar,12,.410604
circuar,14,.413928
circuar,16,.431700
symmetric,2,.376420
symmetric,4,.385803
symmetric,6,.386168
symmetric,8,.411327
symmetric,10,.419862
symmetric,12,.432619
symmetric,14,.412046
symmetric,16,.448612
